district,district_hi,division,latitude,longitude,note
Raipur,रायपुर,Raipur,21.25,81.63,"approximate HQ point, demo use"
Baloda Bazar-Bhatapara,बलौदाबाजार-भाटापारा,Raipur,21.66,82.16,"approximate HQ point, demo use"
Gariaband,गरियाबंद,Raipur,20.63,82.06,"approximate HQ point, demo use"
Mahasamund,महासमुंद,Raipur,21.11,82.1,"approximate HQ point, demo use"
Dhamtari,धमतरी,Raipur,20.71,81.55,"approximate HQ point, demo use"
Durg,दुर्ग,Durg,21.19,81.28,"approximate HQ point, demo use"
Balod,बालोद,Durg,20.73,81.2,"approximate HQ point, demo use"
Bemetara,बेमेतरा,Durg,21.71,81.53,"approximate HQ point, demo use"
Rajnandgaon,राजनांदगाँव,Durg,21.1,81.03,"approximate HQ point, demo use"
Kabirdham,कबीरधाम,Durg,22.01,81.25,"approximate HQ point, demo use"
Khairagarh-Chhuikhadan-Gandai,खैरागढ़-छुईखदान-गंडई,Durg,21.42,81.04,"approximate HQ point, demo use"
Mohla-Manpur-Ambagarh Chowki,मोहला-मानपुर-अंबागढ़ चौकी,Durg,20.72,80.75,"approximate HQ point, demo use"
Bilaspur,बिलासपुर,Bilaspur,22.08,82.15,"approximate HQ point, demo use"
Mungeli,मुंगेली,Bilaspur,22.07,81.68,"approximate HQ point, demo use"
Korba,कोरबा,Bilaspur,22.35,82.68,"approximate HQ point, demo use"
Janjgir-Champa,जांजगीर-चांपा,Bilaspur,22.01,82.58,"approximate HQ point, demo use"
Sakti,सक्ती,Bilaspur,22.03,82.96,"approximate HQ point, demo use"
Raigarh,रायगढ़,Bilaspur,21.9,83.4,"approximate HQ point, demo use"
Sarangarh-Bilaigarh,सारंगढ़-बिलाईगढ़,Bilaspur,21.59,83.08,"approximate HQ point, demo use"
Gaurela-Pendra-Marwahi,गौरेला-पेण्ड्रा-मरवाही,Bilaspur,22.76,81.9,"approximate HQ point, demo use"
Bastar,बस्तर,Bastar,19.07,82.02,"approximate HQ point, demo use"
Kondagaon,कोंडागाँव,Bastar,19.6,81.66,"approximate HQ point, demo use"
Kanker,कांकेर,Bastar,20.27,81.49,"approximate HQ point, demo use"
Narayanpur,नारायणपुर,Bastar,19.72,81.25,"approximate HQ point, demo use"
Dantewada,दंतेवाड़ा,Bastar,18.9,81.35,"approximate HQ point, demo use"
Bijapur,बीजापुर,Bastar,18.84,80.82,"approximate HQ point, demo use"
Sukma,सुकमा,Bastar,18.39,81.66,"approximate HQ point, demo use"
Surguja,सरगुजा,Surguja,23.12,83.2,"approximate HQ point, demo use"
Surajpur,सूरजपुर,Surguja,23.22,82.87,"approximate HQ point, demo use"
Balrampur-Ramanujganj,बलरामपुर-रामानुजगंज,Surguja,23.62,83.6,"approximate HQ point, demo use"
Jashpur,जशपुर,Surguja,22.88,84.14,"approximate HQ point, demo use"
Koriya,कोरिया,Surguja,23.25,82.56,"approximate HQ point, demo use"
Manendragarh-Chirmiri-Bharatpur,मनेन्द्रगढ़-चिरमिरी-भरतपुर,Surguja,23.21,82.23,"approximate HQ point, demo use"
